trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
356,False,"{'a': 0.5, 'e': 0.28799999999999937}",25,3,1.788924621919969,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
357,False,"{'a': 0.5, 'e': 0.28599999999999937}",20,7,16.504347620809664,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.5, 'e': 0.28399999999999936}",30,23,3.102576191738676,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
359,False,"{'a': 0.5, 'e': 0.28199999999999936}",30,11,-81.40063214449806,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
360,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,10,-5.507521345831808,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
361,False,"{'a': 0.5, 'e': 0.27799999999999936}",25,14,8.970934493697875,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
362,False,"{'a': 0.5, 'e': 0.27599999999999936}",35,18,1.3255988309205615,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
363,False,"{'a': 0.5, 'e': 0.27399999999999936}",25,20,8.840669164751823,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.5, 'e': 0.27199999999999935}",25,15,13.384245282221721,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,8,3.5969009481066725,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
366,False,"{'a': 0.5, 'e': 0.26799999999999935}",20,5,-50.167496508218356,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
367,False,"{'a': 0.5, 'e': 0.26599999999999935}",30,16,-19.21799762173167,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
368,False,"{'a': 0.5, 'e': 0.26399999999999935}",20,6,-0.28292290285141775,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
369,False,"{'a': 0.5, 'e': 0.26199999999999934}",20,3,23.13430288069195,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.5, 'e': 0.25999999999999934}",30,16,3.7483716491952914,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
371,False,"{'a': 0.5, 'e': 0.25799999999999934}",30,17,19.21356498535217,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.5, 'e': 0.25599999999999934}",25,0,-11.558087996356742,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
373,False,"{'a': 0.5, 'e': 0.25399999999999934}",30,0,-27.859665309962107,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",1
374,False,"{'a': 0.5, 'e': 0.25199999999999934}",25,18,-0.45097015927266293,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
375,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,8,-9.567643218681194,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
376,False,"{'a': 0.5, 'e': 0.24799999999999933}",20,8,1.665913786950118,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
377,False,"{'a': 0.5, 'e': 0.24599999999999933}",30,20,14.557536762139044,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.5, 'e': 0.24399999999999933}",35,15,32.12650931226076,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.5, 'e': 0.24199999999999933}",20,6,5.803945793204356,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
380,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,9,-25.547671994545798,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
381,False,"{'a': 0.5, 'e': 0.23799999999999932}",25,10,25.753273545346598,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.5, 'e': 0.23599999999999932}",20,13,4.314336327895479,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.5, 'e': 0.23399999999999932}",20,16,6.721546177869542,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.5, 'e': 0.23199999999999932}",20,14,-13.354567795373402,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
385,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,11,-12.848633161107276,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
386,False,"{'a': 0.5, 'e': 0.22799999999999931}",20,12,-2.668148031655279,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
387,False,"{'a': 0.5, 'e': 0.2259999999999993}",20,8,-22.583735807127606,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
388,False,"{'a': 0.5, 'e': 0.2239999999999993}",20,0,-21.74851094854689,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
389,False,"{'a': 0.5, 'e': 0.2219999999999993}",25,17,17.89612008472814,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
