trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,0,34.638511350567775,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",20,0,31.401411774251947,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",30,12,28.78645988030497,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",30,0,38.514349569343516,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,16,15.606699106218459,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",20,0,23.66974714912128,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,8,11.107830424347362,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",30,6,-7.81704900791085,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,14,10.8424524980826,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,8,18.509877894307596,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,9,21.242257499387964,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",20,3,22.333303965073483,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,13,9.481649697378302,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",20,12,16.01644922277648,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,0,33.97546807603922,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",20,0,23.155327656867705,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",25,0,35.056713255891665,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",20,0,23.795957156006722,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",30,0,31.635325177002635,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",25,0,22.746036641152863,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,9,15.560892932278154,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",25,11,14.076815817645526,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",20,0,19.32085383101273,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",25,0,-8.91541505162241,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,2,28.340646166370384,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",25,0,31.370919289188972,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",25,0,28.141434048714164,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",25,9,24.186648265293805,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",20,0,0.7147199211766142,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",25,0,33.0611217015162,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",20,0,-20.61007865090463,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",20,14,9.845217830144652,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",35,0,6.2704144535183985,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",20,0,25.7805781169187,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.07999999999999918}",30,18,18.51473775807952,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.07499999999999918}",20,0,27.325243925741198,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
186,False,"{'a': 0.5, 'e': 0.06999999999999917}",20,0,29.686931024842455,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
187,False,"{'a': 0.5, 'e': 0.06499999999999917}",25,0,38.33843626932643,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
188,False,"{'a': 0.5, 'e': 0.05999999999999917}",20,0,21.85863612098055,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
189,False,"{'a': 0.5, 'e': 0.054999999999999175}",30,1,13.037615959171898,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.04999999999999918}",20,1,28.19124081951194,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,9,13.594334815859451,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,8,-21.52267419254265,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,27.545829730379953,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,29.552553502818927,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,28.383639975347997,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,20,8.168642242527314,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,22.6371644674216,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",35,0,43.53589153300745,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,8,32.01741959259913,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,27.72626417768739,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
